location,datetime,SF6 [ppm]
center,2021-05-11T14:02:02Z,86.7186551622745
near_door,2021-05-11T14:02:47Z,89.8981778345888
near_window,2021-05-11T14:03:37Z,92.6114772327375
center,2021-05-11T14:04:22Z,86.8520959514447
near_door,2021-05-11T14:05:17Z,88.3018254022595
near_window,2021-05-11T14:06:02Z,92.0019390939767
center,2021-05-11T14:06:52Z,86.7203041932009
near_door,2021-05-11T14:07:37Z,90.1354070214543
near_window,2021-05-11T14:08:22Z,91.2210525648724
center,2021-05-11T14:09:22Z,87.1255635984239
near_door,2021-05-11T14:10:07Z,86.4468264911551
near_window,2021-05-11T14:10:57Z,91.0101877626956
center,2021-05-11T14:11:42Z,86.3891707391318
near_door,2021-05-11T14:12:27Z,86.5077803050312
near_window,2021-05-11T14:13:12Z,90.7531903148469
center,2021-05-11T14:14:02Z,85.5769928426929
near_door,2021-05-11T14:14:47Z,86.397405838697
near_window,2021-05-11T14:15:37Z,90.9788863402944
center,2021-05-11T14:16:27Z,87.1403948216946
near_door,2021-05-11T14:17:12Z,81.7170790046501
near_window,2021-05-11T14:17:57Z,87.969042917264
center,2021-05-11T14:18:47Z,87.6214392640644
near_door,2021-05-11T14:19:52Z,84.0053507365926
near_window,2021-05-11T14:20:42Z,88.2359244956043
center,2021-05-11T14:21:32Z,86.7680758147326
near_door,2021-05-11T14:22:22Z,82.4996045096142
near_window,2021-05-11T14:23:07Z,89.868525443114
center,2021-05-11T14:23:57Z,88.5637699428873
near_door,2021-05-11T14:24:47Z,82.7005902088326
near_window,2021-05-11T14:25:32Z,86.9657684796316
center,2021-05-11T14:26:17Z,86.8471488586656
near_door,2021-05-11T14:27:02Z,83.3513239555529
near_window,2021-05-11T14:27:47Z,87.0695568773269
center,2021-05-11T14:28:32Z,87.1123914611461
near_door,2021-05-11T14:29:32Z,82.0926910459315
near_window,2021-05-11T14:30:22Z,87.0431924926382
center,2021-05-11T14:31:07Z,87.2013486355707
near_door,2021-05-11T14:31:57Z,83.9526320222817
near_window,2021-05-11T14:32:47Z,87.153577014039
center,2021-05-11T14:33:32Z,88.0662452463204
near_door,2021-05-11T14:34:17Z,82.0531545239651
near_window,2021-05-11T14:35:07Z,86.8537449823711
center,2021-05-11T14:35:52Z,86.0876896765375
near_door,2021-05-11T14:36:42Z,82.7187094388895
near_window,2021-05-11T14:37:27Z,86.7779599452243
center,2021-05-11T14:38:12Z,87.3562067166504
near_door,2021-05-11T14:39:12Z,82.6643467211856
near_window,2021-05-11T14:39:57Z,86.6758205784553
center,2021-05-11T14:40:42Z,86.2095973042897
near_door,2021-05-11T14:41:32Z,82.1536448598076
near_window,2021-05-11T14:42:22Z,86.0975738070291
center,2021-05-11T14:43:07Z,86.4056409382623
near_door,2021-05-11T14:43:57Z,81.5062091749401
near_window,2021-05-11T14:44:42Z,86.4171740996803
center,2021-05-11T14:45:27Z,85.4830885754892
near_door,2021-05-11T14:46:17Z,81.1668406213057
near_window,2021-05-11T14:47:07Z,85.9443647568757
center,2021-05-11T14:47:57Z,87.5736676425327
near_door,2021-05-11T14:48:47Z,81.656125190774
near_window,2021-05-11T14:49:52Z,86.9871857715412
center,2021-05-11T14:50:37Z,88.425382060938
near_door,2021-05-11T14:51:22Z,81.4666726529736
near_window,2021-05-11T14:52:07Z,86.4995452054659
center,2021-05-11T14:52:52Z,88.0415298925581
near_door,2021-05-11T14:53:42Z,80.6050690765433
near_window,2021-05-11T14:54:27Z,86.3990548696234
center,2021-05-11T14:55:17Z,88.0612981535413
near_door,2021-05-11T14:56:02Z,79.4189231422161
near_window,2021-05-11T14:56:52Z,86.3183327947641
center,2021-05-11T14:57:37Z,86.6494561937666
near_door,2021-05-11T14:58:22Z,78.5194320747456
near_window,2021-05-11T14:59:22Z,86.2376006648382
center,2021-05-11T15:00:12Z,86.5226115283019
near_door,2021-05-11T15:01:02Z,81.2854552147384
near_window,2021-05-11T15:01:52Z,86.814198405338
center,2021-05-11T15:02:42Z,87.1041463065143
near_door,2021-05-11T15:03:32Z,77.5227437057521
near_window,2021-05-11T15:04:22Z,86.1931271051592
center,2021-05-11T15:05:07Z,84.9295571578253
near_door,2021-05-11T15:05:57Z,80.4963386136022
near_window,2021-05-11T15:06:52Z,86.2590179567478
center,2021-05-11T15:07:37Z,87.7878305065621
center,2021-05-11T15:35:20Z,12.2138228136355
near_door,2021-05-11T15:36:23Z,10.3519066451352
near_window,2021-05-11T15:37:10Z,10.107593663833
center,2021-05-11T15:37:55Z,9.41435840737546
near_door,2021-05-11T15:38:40Z,8.13035782154453
near_window,2021-05-11T15:39:40Z,8.44122591727419
center,2021-05-11T15:40:25Z,8.2448536083113
near_door,2021-05-11T15:41:10Z,6.3954572546416
near_window,2021-05-11T15:41:55Z,7.15458964710438
center,2021-05-11T15:42:40Z,6.92180857033682
near_door,2021-05-11T15:43:25Z,6.07964646522446
near_window,2021-05-11T15:44:15Z,6.2233019452015
center,2021-05-11T15:45:00Z,5.87454258778176
near_door,2021-05-11T15:45:45Z,5.47075939202758
near_window,2021-05-11T15:46:30Z,5.53731513489668
center,2021-05-11T15:47:15Z,5.31623124282142
near_door,2021-05-11T15:48:00Z,4.96401231404128
near_window,2021-05-11T15:48:45Z,4.95396290339203
center,2021-05-11T15:49:50Z,4.4788465512389
near_door,2021-05-11T15:50:35Z,4.38906203336366
near_window,2021-05-11T15:51:25Z,4.30257243513286
center,2021-05-11T15:52:10Z,4.34952394029303
near_door,2021-05-11T15:52:55Z,3.88659809953846
near_window,2021-05-11T15:53:45Z,3.93107857207573
center,2021-05-11T15:54:35Z,3.80241488221458
near_door,2021-05-11T15:55:20Z,3.66254890547155
near_window,2021-05-11T15:56:05Z,3.62037481384121
center,2021-05-11T15:56:50Z,3.44591280927335
near_door,2021-05-11T15:57:40Z,3.32960491096839
near_window,2021-05-11T15:58:25Z,3.25678863224237
center,2021-05-11T15:59:25Z,3.10736751421883
near_door,2021-05-11T16:00:15Z,3.01906580444984
near_window,2021-05-11T16:01:05Z,2.99633129881245
center,2021-05-11T16:01:50Z,2.89089638395744
near_door,2021-05-11T16:02:40Z,2.55828184999664
near_window,2021-05-11T16:03:25Z,2.71248053866043
center,2021-05-11T16:04:15Z,2.59073599152008
near_door,2021-05-11T16:05:00Z,2.36783983079622
near_window,2021-05-11T16:05:45Z,2.46899160149015
center,2021-05-11T16:06:30Z,2.34362267416301
near_door,2021-05-11T16:07:20Z,2.23406910975246
near_window,2021-05-11T16:08:05Z,2.25565042493638
center,2021-05-11T16:09:05Z,2.1653716376924
near_door,2021-05-11T16:09:50Z,2.06141921672279
near_window,2021-05-11T16:10:35Z,2.01331452110915
center,2021-05-11T16:11:25Z,1.96553928603786
near_door,2021-05-11T16:12:10Z,1.86587032345018
near_window,2021-05-11T16:13:00Z,1.8561505304537
center,2021-05-11T16:13:45Z,1.79997334455538
near_door,2021-05-11T16:14:30Z,1.75796406175143
near_window,2021-05-11T16:15:15Z,1.72419192094813
center,2021-05-11T16:16:00Z,1.6864660965261
near_door,2021-05-11T16:16:45Z,1.61992669314026
near_window,2021-05-11T16:17:30Z,1.6132710245871
center,2021-05-11T16:18:15Z,1.58058624497296
near_door,2021-05-11T16:19:20Z,1.52119662239861
near_window,2021-05-11T16:20:05Z,1.50973054712825
center,2021-05-11T16:20:50Z,1.49258084544855
near_door,2021-05-11T16:21:35Z,1.45834742846386
near_window,2021-05-11T16:22:25Z,1.41465784976075
center,2021-05-11T16:23:10Z,1.64631841504137
near_door,2021-05-11T16:23:55Z,1.40974846348147
near_window,2021-05-11T16:24:50Z,1.36854657110536
center,2021-05-11T16:25:35Z,1.36643783510176
near_door,2021-05-11T16:26:20Z,1.26138171345973
near_window,2021-05-11T16:27:05Z,1.31256710866558
center,2021-05-11T16:28:00Z,1.27146388163072
near_door,2021-05-11T16:29:00Z,1.25324339391074
near_window,2021-05-11T16:29:45Z,1.22059152892876
center,2021-05-11T16:30:30Z,1.2103280553377
near_door,2021-05-11T16:31:15Z,1.11570013755791
near_window,2021-05-11T16:32:00Z,1.18148171885215
center,2021-05-11T16:32:45Z,1.13766032451001
near_door,2021-05-11T16:33:30Z,1.13925829455119
near_window,2021-05-11T16:34:15Z,1.10868217238544
center,2021-05-11T16:35:00Z,1.09398716384538
near_door,2021-05-11T16:35:45Z,1.07037959562626
near_window,2021-05-11T16:36:30Z,1.0629826801304
center,2021-05-11T16:37:20Z,1.06243899953582
near_door,2021-05-11T16:38:05Z,1.00879891119033
near_window,2021-05-11T16:39:05Z,1.01797510214743
center,2021-05-11T16:39:50Z,1.01166546928552
near_door,2021-05-11T16:40:35Z,0.925818295545751
near_window,2021-05-11T16:41:25Z,0.964005553259583
center,2021-05-11T16:42:10Z,1.12716621282826
near_door,2021-05-11T16:43:00Z,0.895340995831671
near_window,2021-05-11T16:43:45Z,0.916263232820453
center,2021-05-11T16:44:35Z,0.908849820730907
near_door,2021-05-11T16:45:20Z,0.811783706405154
near_window,2021-05-11T16:46:05Z,0.858257517345472
center,2021-05-11T16:46:50Z,0.852046706935226
near_door,2021-05-11T16:47:35Z,0.803381834133322
near_window,2021-05-11T16:48:20Z,0.810992969681408
center,2021-05-11T16:49:25Z,0.778835295512961
near_door,2021-05-11T16:50:10Z,0.774930866009648
near_window,2021-05-11T16:50:55Z,0.763926145475884
center,2021-05-11T16:51:40Z,0.746216345163128
near_door,2021-05-11T16:52:25Z,0.711554566629208
near_window,2021-05-11T16:53:15Z,0.703795197403623
center,2021-05-11T16:54:00Z,0.68913318205092
near_door,2021-05-11T16:54:45Z,0.633417311611587
near_window,2021-05-11T16:55:30Z,0.673120174231002
center,2021-05-11T16:56:15Z,0.662362509826404
near_door,2021-05-11T16:57:00Z,0.597734158263228
near_window,2021-05-11T16:57:45Z,0.631588703479721
center,2021-05-11T16:58:30Z,0.626926491162419
near_door,2021-05-11T16:59:30Z,0.60587243853461
near_window,2021-05-11T17:00:20Z,0.598228388354371
center,2021-05-11T17:01:05Z,0.5888051412681
near_door,2021-05-11T17:01:55Z,0.546680539418801
near_window,2021-05-11T17:02:45Z,0.567322766368661
center,2021-05-11T17:03:35Z,0.556350921189446
near_door,2021-05-11T17:04:20Z,0.52159032020386
near_window,2021-05-11T17:05:05Z,0.528789551518789
center,2021-05-11T17:05:55Z,0.53837752887624
near_door,2021-05-11T17:06:45Z,0.446583176004279
near_window,2021-05-11T17:07:30Z,0.513715631932928
center,2021-05-11T17:08:15Z,0.49075056676006
near_door,2021-05-11T17:09:15Z,0.497406156758012
near_window,2021-05-11T17:10:00Z,0.493320539667442
center,2021-05-11T17:10:45Z,0.48885605080868
near_door,2021-05-11T17:11:30Z,0.498196932759362
near_window,2021-05-11T17:12:15Z,0.477851251719709
center,2021-05-11T17:13:05Z,0.470075425178047
near_door,2021-05-11T17:13:55Z,0.439878174780493
near_window,2021-05-11T17:14:40Z,0.466582899907891
center,2021-05-11T17:15:30Z,0.444523890504115
near_door,2021-05-11T17:16:15Z,0.413420584337469
